treatment_group,outcome_rating,propensity_score,verified_purchase,product_category,total_votes,helpful_votes,segment
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,2,0.7541997419884313,No,Apparel,17,7,Lost Cause
Prime,3,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,4,0.7887742221397077,No,Apparel,4,2,Persuadable
Prime,5,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,3,0.7064714825662864,No,Apparel,34,14,Lost Cause
Prime,4,0.7920251466433884,No,Apparel,1,0,Persuadable
Prime,5,0.7937908030169029,No,Apparel,4,3,Sure Thing
Prime,4,0.7926149345857402,No,Apparel,2,1,Persuadable
Prime,5,0.7917446375237484,No,Apparel,9,7,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,5,0.801613034522268,No,Apparel,26,24,Sleeper
Prime,4,0.32032095325902354,No,Digital_Music_Purchase,3,2,Lost Cause
Prime,5,0.8566588715871569,No,Apparel,203,193,Sleeper
Prime,5,0.46664130657284103,No,Camera,0,0,Lost Cause
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,3,0.7688580172659607,No,Apparel,48,37,Lost Cause
Prime,4,0.7932034866730083,No,Apparel,3,2,Sure Thing
Prime,5,0.7969843906800329,No,Apparel,1,1,Sleeper
Prime,5,0.12786134791119777,No,Health & Personal Care,3,3,Lost Cause
Prime,4,0.7964038372225929,No,Apparel,0,0,Sure Thing
Prime,1,0.16369803143321748,No,Digital_Music_Purchase,46,11,Lost Cause
Prime,5,0.7866916547860742,No,Apparel,9,6,Persuadable
Prime,5,0.7893707775305534,No,Apparel,5,3,Persuadable
Prime,5,0.7964038372225929,No,Apparel,0,0,Sure Thing
